"","U7 NRO","U6 NRO","U5 NRO","U4 NRO","T7 NRO","T6 NRO","T5 NRO","T4 NRO","T4 Total","T5 Total","T6 Total","T7 Total","U4 Total","U5 Total","U6 Total","U7 Total"
"PTPMT1",8.34368165074556,8.31923973852953,8.30231396332144,7.84791133621766,7.14608523082642,7.23569828426646,6.90119040668115,7.19390174940123,8.51050254535769,8.29036195419831,8.37756905877329,8.52192903047046,9.06041810748639,8.94531987627114,9.36738802568931,9.3649162773282
"CCDC124",9.28135355511363,9.4401046846579,9.40685855638812,8.97504518090359,7.53712492674334,7.81690039190545,7.95501527355554,7.79282148198145,8.48955536589486,8.37462959562356,8.39912678784944,8.39816152667802,9.49666600375675,9.76683994819106,9.7409614966522,9.75607999378548
"CKB",8.72092742570482,8.74548872405019,8.47933620358245,8.0468198898356,6.88103613149158,6.58303290651318,6.78776367204791,6.82174384878975,6.91153482945238,7.10153271531654,6.65876425812518,6.4616953976514,8.51353869097211,8.79377414112873,8.66047731661642,8.87070668077816
"FCRL1",7.3741932775687,7.43189711215587,7.38432167582484,7.60083999070229,9.52730033013371,9.75925555784603,9.56642860055308,9.65238385256506,8.02251792009409,7.85161193201419,8.19046323790725,8.13141555438598,6.95104616111573,6.7231642532875,6.42948572060414,6.39858538873853
"TNFRSF13C",9.32648289326852,9.51180477688061,9.35526241485606,9.54721512789426,10.3548040739939,10.4727401568205,10.4095704274053,10.4528219290953,9.19936851986041,9.09644896025717,9.25249891246337,9.26114271308558,8.46230848922677,7.9937162387107,7.91516723341735,7.99383458046759
"ALPK2",5.42959624820588,5.38348661846335,5.35854191759712,5.40029958488912,7.07154656780164,7.17738233285526,7.15233802064081,7.41805080521179,6.19712654310343,5.81294230288022,6.40995923053008,6.1517919480868,5.03328514450614,4.68788948987635,4.83069334705985,4.78646323623179
"ZMYND19",8.83389759871863,8.91629044034755,8.98553673424409,8.82190647326391,7.48489070554402,7.06714666941736,7.60294920658798,7.3842932679398,7.68969283616262,7.63122641877111,7.54471215081441,7.61930756559718,8.78188484611486,9.01994473863462,9.19127144875228,9.00186022044825
"CKS2",11.1771939981084,10.818989583133,11.0684236468923,10.4218112076071,8.60798803608928,8.58839659875563,8.19022794209495,8.81231478054269,9.94288231412813,9.8838633276507,10.2274336671793,10.1656245952244,11.4399490978268,11.2117483098139,11.484685785164,11.3228414195147
"TOP1MT",9.62649548535544,9.71944111116314,9.6661085850913,9.29706533864868,7.96959519958291,8.13322710532362,8.03187491426717,8.0469200218074,7.9538223129101,8.13978241812275,8.02539429598897,7.96860253832166,9.10457919741527,9.39192847964665,9.45938140935542,9.43586035933922
"RPL39L",5.22447566665346,5.05686321149883,5.09874893924522,5.83109389131195,5.25723178280243,5.4898484542768,5.02713292675769,5.46280599505906,8.25344634590573,8.40353207239708,9.06140615674957,9.17509546920171,8.85577243370469,8.42936759173296,9.19347251413988,9.07307748445593
"ARAP1",8.75327219632918,8.93462282650092,8.79871389238073,9.1080665882351,9.56316653456535,9.75256426923991,9.73972206181065,9.82318461538794,8.75217066489384,8.68643431478428,8.64377492080395,8.63572539265937,8.18683015265969,7.86442985610387,7.84124152854211,7.85391120175248
"AP2S1",8.4532074760922,8.43897159602176,8.32313267923552,7.91235735873413,7.7082742360357,7.32416071696924,7.30860845258834,7.17248216759291,10.055082490537,9.96038206779463,10.0944106058628,9.93321961267169,10.1935143437002,10.0777999265979,10.2437334037473,10.3798999492362
"SFXN2",8.07379678942805,8.29507734371024,8.21692215441098,7.88478851975923,6.38219904217705,6.42453325980119,6.49085291645752,6.47709038822353,5.80933206552359,6.10382781122596,5.97454630425874,5.66013530819907,7.6070099466722,7.76708433065866,7.87474896539255,7.80980634185333
"ANAPC16",7.14450900538632,7.09618122097011,6.89757488771713,7.09645351771883,7.17857557861063,7.46304568992058,7.34363078480141,7.62645839331483,9.26943319293553,9.27983900775225,9.53681084962338,9.48300305283305,8.99595536088741,8.56508106201993,8.75312312158393,8.64794767011778
"SFXN4",7.32229053750875,7.32254227147743,7.30778957744117,6.72889801092563,5.24040334551911,5.32168993045711,5.378454471727,5.18677499618712,6.40914188091697,6.26625142381651,6.49349567395193,6.45507529373398,9.1271354970889,8.78623144924561,9.59344436540063,9.40888923213658
"ALKBH2",8.73325905163246,8.73291976406301,8.71021841392506,7.95891173465827,6.84604209099726,6.90932981079754,6.88170516515266,6.76151187204599,7.23334343114398,7.28797650799421,7.47796011744729,7.31685887858154,8.94899980189309,9.28542340295817,9.28903369941391,9.45470227242462
"FOXN4",8.34315125901689,8.53834385274077,8.37397507572364,7.87839274063891,6.59732649500422,6.3909544347057,6.28033309115935,6.51423727937376,5.74761192900425,5.84716034775946,5.47573241095292,5.67184389171404,6.83666980867263,6.97272294933121,7.04137783374203,6.92963982644229
"PLIN2",7.37312060544658,7.33756936821468,7.33629791355614,7.19721497588168,6.92572605383793,6.82768189706024,6.86904468648084,6.79231967449656,7.83978704257238,7.70063680089238,7.94576347946322,7.80068308040642,8.41442402036864,8.29804018549856,8.75625826847847,8.63563909476405
"CCR6",5.53235329917834,5.8395161203093,5.65208994346411,6.24308453260328,7.57051486896527,7.6804567442769,7.70868735644933,7.81664756939687,8.0562719832708,7.92760572905978,8.39195425152275,8.3750535166,6.61982319850671,5.84401629146144,5.93207314348053,5.99144735356997
"CCR7",6.56205193964896,6.80478626003069,6.57063889685416,7.01108280545548,8.11832473149807,8.06401324905742,8.36999351400029,8.28472264817466,7.97813713147612,8.0699460610242,8.00251082655144,8.0885794300846,6.78667001896206,6.80068448251171,6.30930319572693,6.55979470113762
